wildcraft_wood,basegame_wood,tint_offset_hex,notes
ash,oak,,
azobe,maple,,
banyan,pine,,
bearnut,walnut,,
beech,larch,,
bluemahoe,purpleheart,,
catalpa,walnut,,
cedar,birch,,
charred,aged,,
chlorociboria,purpleheart,,
dalbergia,redwood,,
douglasfir,redwood,,
elm,walnut,,
empresstree,larch,,
eucalyptus,kapok,,
fir,pine,,
ghostgum,larch,,
ginkgo,maple,,
guajacum,maple,,
honeylocust,walnut,,
horsechestnut,oak,,
jacaranda,aged,,
kauri,oak,,
leadwood,oak,,
linden,larch,,
mahogany,purpleheart,,
mangrove,birch,,
ohia,birch,,
petrified,veryaged,,
poplar,oak,,
redcedar,redwood,,
sal,ebony,,
sapele,birch,,
satinash,oak,,
saxaul,birch,,
spruce,pine,,
spurgetree,aged,,
sycamore,aged,,
tamanu,birch,,
tigerwood,aged,,
tuja,larch,,
umnini,purpleheart,,
willow,larch,,
yew,birch,,
